prop_id,full_address,bedrooms,bathrooms,parking_spaces,latitude,longitude,floor_number,land_area,floor_area,price,property_features
P10072,38 Triumph Way Skye VIC 3977,3,2,2,-38.12223546,145.1920283,,478,153,728000,air conditioning;dishwasher;central heating
P10073,8 Oriana Grove Skye VIC 3977,3,2,2,-38.1223166,145.1907233,,601,226,748000,floorboards;air conditioning;dishwasher
P10074,19 Hartington Street Kew VIC 3101,3,3,2,-37.80136179,145.0418401,,928,206,1445000,floorboards;double-storey;modular kitchen;wine cellar;cinema room;fireplace
P10075,106 Wiltshire Drive Kew VIC 3101,5,2,2,-37.79393948,145.023799,,103700,12800,1770000,castle;family room;cinema room;floorboards;backyard;cinema room;wine cellar;grand staircase;fireplace;dishwasher
P10076,17 Princess Street Kew VIC 3101,4,2,2,-37.80654882,145.0285712,,678,242,2530000,timber floors;air conditioning;backyard
P10077,3/20 Pakington Street Kew VIC 3101,2,1,1,-37.80383398,145.0345936,2,,41,628000,air conditioning;balcony
P10078,12/2-6 Malmsbury Street Kew VIC 3101,2,1,1,-37.80212022,145.0304411,1,,95,607000,floorboards;air conditioning
P10079,5 Redmond Street Kew VIC 3101,5,4,2,-37.79974836,145.0222317,,728,351,4700000,floorboards;backyard;central heating;central cooling;covered yard;piano room;hammock;pool
P10080,69/378 Cotham Road Kew VIC 3101,2,2,1,-37.81020597,145.0593444,3,,97,999000,floorboards;dishwasher;balcony
P10081,2/33 Parkhill Road Kew VIC 3101,3,2,1,-37.80482782,145.0496217,2,,201,1054000,air conditioning;outdoor deck
P10082,1/105 Wiltshire Drive Kew VIC 3101,2,1,1,-37.79558256,145.0228233,1,,95,616000,dishwasher;floorboards
P10083,203/11 Peel Street Kew VIC 3101,2,1,1,-37.80479881,145.032842,1,,80,692000,dishwasher;balcony;air conditioning
P10084,59 Tram Road Doncaster VIC 3108,3,1,1,-37.79141278,145.1252238,,648,191,1200000,air conditioning;dishwasher;fireplace
P10085,2 Ruda Street Doncaster VIC 3108,4,3,2,-37.79064482,145.108332,,1394,756,1974000,double-storey;backyard;pool;cinema room;floorboards;dishwasher;central heating;air conditioning
P10086,113/832 Doncaster Road Doncaster VIC 3108,1,1,1,-37.78698317,145.1430951,1,,72,388000,floorboards;air conditioning
P10087,101/832 Doncaster Road Doncaster VIC 3108,2,2,1,-37.78698317,145.1430951,1,,87,547000,floorboards;air conditioning;dishwasher
