stop_id,stop_name,stop_lat,stop_lon
44951,Creswick Railway Station (Creswick),-37.42460539,143.8881236
44952,Clunes Railway Station (Clunes),-37.30314079,143.7815766
44953,Maryborough Railway Station (Maryborough),-37.05090849,143.7424023
47482,Talbot Railway Station (Talbot),-37.17289923,143.7056403
47641,Waurn Ponds Railway Station (Waurn Ponds),-38.21581447,144.3068194
47642,Epsom Railway Station (Epsom),-36.70634158,144.3210395
47647,Wyndham Vale Railway Station (Manor Lakes),-37.87288647,144.6087319
47648,Tarneit Railway Station (Tarneit),-37.83216813,144.6947144
48804,Cobblebank Railway Station (Cobblebank),-37.71254554,144.6041078
49295,Raywood Railway Station (Raywood),-36.53195927,144.201161
49296,Huntly Railway Station (Huntly),-36.66584794,144.3698205
51809,Goornong Railway Station (Goornong),-36.61518327,144.5034742
52011,Caroline Springs Railway Station (Ravenhall),-37.76614472,144.7357479
15351,Sunbury Railway Station (Sunbury),-37.57909097,144.7273188
15353,Diggers Rest Railway Station (Diggers Rest),-37.62701651,144.7199224
19827,Stony Point Railway Station (Crib Point),-38.37423454,145.2218375
19828,Crib Point Railway Station (Crib Point),-38.36612338,145.2040433
19829,Morradoo Railway Station (Crib Point),-38.35403334,145.1896025
19830,Bittern Railway Station (Bittern),-38.33739032,145.1780265
19831,Hastings Railway Station (Hastings),-38.30565853,145.1859799
19832,Tyabb Railway Station (Tyabb),-38.259815,145.1864007
19833,Somerville Railway Station (Somerville),-38.22534196,145.1762449
19834,Baxter Railway Station (Baxter),-38.19404306,145.1605261
19835,Glen Iris Railway Station (Glen Iris),-37.85930842,145.0582249
19836,Leawarra Railway Station (Frankston),-38.152034,145.139534
19837,Darling Railway Station (Malvern East),-37.86895684,145.0629508
19838,East Malvern Railway Station (Malvern East),-37.87693002,145.069393
19839,Holmesglen Railway Station (Malvern East),-37.87440222,145.090662
19840,Jordanville Railway Station (Mount Waverley),-37.87360339,145.1120902
19841,Flagstaff Railway Station (Melbourne City),-37.81198131,144.9556538
19842,Melbourne Central Railway Station (Melbourne City),-37.80993877,144.9625935
19843,Parliament Railway Station (Melbourne City),-37.81105406,144.9729109
19844,Belgrave Railway Station (Belgrave),-37.9091021,145.3552913
19845,Tecoma Railway Station (Tecoma),-37.90811849,145.3429946
19846,Upwey Railway Station (Upwey),-37.90369097,145.3313334
19847,Alamein Railway Station (Ashburton),-37.86832039,145.0796557
19848,Ashburton Railway Station (Ashburton),-37.86196753,145.0813438
19849,Burwood Railway Station (Glen Iris),-37.85156328,145.0805111
19850,Hartwell Railway Station (Camberwell),-37.84398457,145.0755596
19851,Willison Railway Station (Camberwell),-37.83571565,145.0702976
19852,Riversdale Railway Station (Camberwell),-37.83150543,145.069646
19853,Camberwell Railway Station (Camberwell),-37.82656714,145.0586972
19854,Flinders Street Railway Station (Melbourne City),-37.81830513,144.9669643
19855,Frankston Railway Station (Frankston),-38.14299007,145.1261623
19856,Kananook Railway Station (Seaford),-38.12174203,145.1352953
19857,Seaford Railway Station (Seaford),-38.10402104,145.1282304
19858,Carrum Railway Station (Carrum),-38.07650361,145.1228331
19859,Bonbeach Railway Station (Bonbeach),-38.06507704,145.1200248
19860,Chelsea Railway Station (Chelsea),-38.05332563,145.116633
19861,Edithvale Railway Station (Edithvale),-38.03606256,145.1072993
